City,Pop_1850,Pop_1870,Pop_1890,Pop_1910,Pop_1930,Pop_1950,Pop_1970,Pop_1990,latitude,longitude
"Montgomery, AL",19542,31285,41485,56867,52144,42538,44523,105196,32.372198,-86.313544
"Washington, DC",13746,43404,76672,94446,132068,280803,537705,1041934,38.863405,-76.985187
"Savannah, GA",14749,24518,34757,43081,49707,48282,53111,86228,32.081310,-81.096061
"Chicago, IL",378,3858,14910,46627,246992,572180,1102620,1332919,41.846876,-87.617520
"New Orleans, LA",28029,50456,64491,89262,129632,181775,267294,430470,29.955901,-90.065287
"Baltimore, MD",35793,47921,67104,84749,142100,225099,420210,616065,39.304371,-76.626981
"Boston, MA",2038,3735,8845,13880,21026,40057,104707,209970,42.360260,-71.069060
"Detroit, MI",724,2683,3815,6085,131747,300506,660428,943479,42.334806,-83.042961
"Jackson, MS",16650,20659,28368,45407,40559,40168,61063,167899,32.340837,-90.212647
"New York, NY",21921,23303,39401,91709,327706,747608,1668115,2250026,40.783996,-73.968929
"Charlotte, NC",5629,10721,19526,25481,38023,37616,72972,231654,35.221991,-80.838294
"Philadelphia, PA",19761,22147,39371,84459,219599,376041,653791,929907,40.047526,-75.181442
"Charleston ,SC",58636,60603,35073,56033,54812,68055,77884,153227,32.759176,-79.856750
"Dallas, TX",207,2109,11177,24355,47879,56958,210238,410766,32.780792,-96.761255
"Richmond, VA",19746,31031,43595,53570,59494,72996,104766,252340,37.558378,-77.467676
